username,manga_id,user_score
sushiisawesome,155372,0
sushiisawesome,119746,1
sushiisawesome,143031,0
sushiisawesome,115122,0
sushiisawesome,145246,0
sushiisawesome,126522,0
sushiisawesome,147458,0
sushiisawesome,129361,0
sushiisawesome,77489,0
sushiisawesome,173944,0
sushiisawesome,19592,0
sushiisawesome,89049,0
sushiisawesome,94896,3
sushiisawesome,155654,0
sushiisawesome,129306,1
sushiisawesome,137313,0
sushiisawesome,172139,0
sushiisawesome,152565,0
sushiisawesome,104573,0
sushiisawesome,182546,0
sushiisawesome,162479,0
sushiisawesome,94169,0
sushiisawesome,167029,0
sushiisawesome,178472,0
sushiisawesome,136522,0
sushiisawesome,174669,2
sushiisawesome,23947,0
sushiisawesome,178931,0
sushiisawesome,104076,0
sushiisawesome,127479,0
sushiisawesome,131242,0
sushiisawesome,16765,8
sushiisawesome,121037,0
sushiisawesome,10404,0
sushiisawesome,122863,0
sushiisawesome,133646,0
sushiisawesome,187839,0
sushiisawesome,172732,0
sushiisawesome,152312,0
sushiisawesome,165770,0
sushiisawesome,131779,0
sushiisawesome,156145,0
sushiisawesome,107551,0
sushiisawesome,166372,0
sushiisawesome,104710,0
sushiisawesome,139104,0
sushiisawesome,126016,0
sushiisawesome,158834,0
sushiisawesome,10978,0
sushiisawesome,142629,0
sushiisawesome,1224,10
sushiisawesome,120224,0
sushiisawesome,156169,0
sushiisawesome,180086,0
sushiisawesome,136979,0
sushiisawesome,129621,0
sushiisawesome,161719,0
sushiisawesome,178043,0
sushiisawesome,130370,0
sushiisawesome,145563,0
sushiisawesome,117897,0
sushiisawesome,115848,0
sushiisawesome,119015,0
sushiisawesome,19743,0
sushiisawesome,142852,0
sushiisawesome,145958,0
sushiisawesome,169051,0
sushiisawesome,130238,0
sushiisawesome,172522,0
sushiisawesome,137840,0
sushiisawesome,118232,0
sushiisawesome,125052,0
sushiisawesome,107566,0
sushiisawesome,140070,0
sushiisawesome,115067,0
sushiisawesome,122649,0
sushiisawesome,161524,0
sushiisawesome,105460,0
sushiisawesome,149484,0
sushiisawesome,156743,0
sushiisawesome,121354,0
sushiisawesome,130317,0
sushiisawesome,116800,0
sushiisawesome,155911,0
